name,sex,RUID,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,preferred_price_range,max_price,roommate_preferences,weights,lottery_number,assigned
Jennifer Davis,F,671208479,Freshman,School of Arts and Sciences,0,1,['NCA' 'MH' 'MS'],Traditional Residence Hall,1,8000-11000,12000,"[501018462, 845387388]",15,2427,0
Beth Johnson,F,392090987,Freshman,School of Communication and Information,0,1,['NCA' 'MH' 'BS'],Apartment,1,8000-11000,12000,"[111636397, 878616993]",15,2428,0
Sheila White,F,526736695,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'BS' 'RA'],Suite,1,6000-8000,9000,[],15,2437,0
Erica Vega,F,363328360,Freshman,School of Engineering,0,1,['WS' 'NCA' 'BS'],Suite,1,4000-6000,7000,[],15,2501,0
Stephanie Lowe,F,179282416,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'NCA'],Apartment,1,6000-8000,9000,[],15,2514,0
Norma Rodriguez,F,575006108,Freshman,School of Communication and Information,0,1,['SA' 'BS' 'RA'],Suite,1,4000-6000,7000,"[806217974, 904262493]",15,2519,0
Derek Love,M,900292504,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'JS' 'NCA'],Apartment,1,8000-11000,12000,[712589349],15,2535,0
Ryan Horn,M,826079798,Freshman,School of Engineering,0,1,['NCA' 'MS' 'BS'],Apartment,1,4000-6000,7000,[916142867],15,2564,0
Linda Fernandez,F,823918107,Freshman,School of Arts and Sciences,0,1,['BS' 'MH' 'MZH'],Apartment,1,8000-11000,12000,[605445536],15,2586,0
Crystal Fitzgerald,F,301367337,Freshman,School of Engineering,0,1,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,[],15,2613,0
Jonathan Smith,M,723448707,Freshman,School of Management and Labor Relations,0,1,['JS' 'RA' 'AH'],Suite,1,8000-11000,12000,"[157789833, 658484539]",15,2668,0
Johnathan Klein,M,831529360,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'MZH'],Apartment,1,8000-11000,12000,"[213742093, 385119120]",15,2820,0
Jerry Williams,M,128607261,Freshman,School of Arts and Sciences,0,1,['MRS' 'TS' 'AH'],Suite,1,8000-11000,12000,[],15,2847,0
Leslie Stewart,F,168959673,Freshman,School of Engineering,0,1,['JS' 'BS' 'WS'],Suite,1,8000-11000,12000,[],15,2946,0
Christie Liu,F,758147707,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'AH'],Apartment,1,8000-11000,12000,[344608880],15,2989,0
Elaine Morgan DDS,F,698958470,Freshman,School of Social Work,0,1,['BS' 'MS' 'NCA'],Apartment,1,4000-6000,7000,"[811494274, 176967232]",15,2995,0
Brittany Adams,F,698037935,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BH' 'WS' 'RA'],Apartment,1,8000-11000,12000,[],15,3084,0
Tracy Winters,F,565224372,Freshman,Mason Gross School of the Arts,0,1,['SA' 'NCA' 'RA'],Traditional Residence Hall,1,8000-11000,12000,"[580147547, 880189198]",15,3116,0
Michele Rodriguez,F,475690576,Freshman,School of Management and Labor Relations,0,1,['RA' 'NCA' 'JS'],Apartment,1,6000-8000,9000,[106296638],15,3201,0
Travis Robinson,M,591462052,Freshman,School of Arts and Sciences,0,1,['BH' 'JS' 'SA'],Traditional Residence Hall,1,6000-8000,9000,[],15,3246,0
Dana Sims,F,381920393,Freshman,School of Arts and Sciences,0,1,['SA' 'NCA' 'JS'],Suite,1,8000-11000,12000,"[544942388, 811562106]",15,3271,0
Corey Johnson,M,491698141,Freshman,School of Communication and Information,0,1,['NCA' 'CS' 'MS'],Apartment,1,4000-6000,7000,[178484882],15,3336,0
Rachel Osborn,F,544942388,Freshman,School of Communication and Information,0,1,['BS' 'NCA' 'MS'],Apartment,1,8000-11000,12000,"[381920393, 811562106]",15,3348,0
Luke Morales,M,306925636,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['CS' 'RA' 'BS'],Apartment,1,8000-11000,12000,"[532025803, 255929297]",15,3386,0
Alexa Macias,F,901253028,Freshman,Mason Gross School of the Arts,0,1,['AH' 'NCA' 'JS'],Suite,1,8000-11000,12000,[162846358],15,3415,0
Kelsey Simon,F,463907427,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'RA' 'NCA'],Suite,1,6000-8000,9000,"[850172024, 154608278]",15,3498,0
Daniel Green,M,390826585,Freshman,School of Arts and Sciences,0,1,['BH' 'TS' 'BS'],Suite,1,6000-8000,9000,[],15,3512,0
Keith Nelson,M,994191092,Freshman,School of Social Work,0,1,['BS' 'SA' 'TS'],Suite,1,4000-6000,7000,[],15,3562,0
John Smith,M,317787976,Freshman,Mason Gross School of the Arts,0,1,['AH' 'TS' 'MS'],Traditional Residence Hall,1,8000-11000,12000,"[901779243, 211401025]",15,3613,0
Anthony Perkins,M,763801719,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MRS'],Suite,1,8000-11000,12000,"[354458979, 923624435]",15,3708,0
Reginald Anderson,M,863706310,Freshman,School of Arts and Sciences,0,1,['TS' 'BS' 'AH'],Suite,1,8000-11000,12000,[499666951],15,3743,0
Janet Alexander,F,935097629,Freshman,School of Social Work,0,1,['JS' 'SA' 'MRS'],Apartment,1,8000-11000,12000,[],15,3828,0
Jonathan Cooper,M,936493386,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'JS' 'RA'],Suite,1,8000-11000,12000,"[774433463, 331441833]",15,3888,0
Brian Robinson,M,963022079,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'BS' 'RA'],Apartment,1,6000-8000,9000,[975276676],15,3970,0
Elizabeth Ward,F,884050320,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'NCA'],Suite,1,8000-11000,12000,"[284672948, 572888551]",15,3993,0
Julie Petersen,F,360673714,Freshman,School of Communication and Information,0,1,['SA' 'BS' 'RA'],Suite,1,8000-11000,12000,"[413398635, 572485534]",15,3998,0
Jeffery Mckenzie,M,657425327,Freshman,School of Arts and Sciences,0,1,['BS' 'NCA' 'WS'],Traditional Residence Hall,1,8000-11000,12000,"[563338483, 354450256]",15,4017,0
Harold Smith,M,703099858,Freshman,School of Social Work,0,1,['RA' 'SA' 'JS'],Apartment,1,4000-6000,7000,"[528299222, 342571204]",15,4028,0
Rebecca Ramos,F,579028524,Freshman,School of Communication and Information,0,1,['CS' 'RA' 'NCA'],Suite,1,6000-8000,9000,"[802332438, 416880204]",15,4030,0
Donna Hart,F,668098417,Freshman,School of Communication and Information,0,1,['MH' 'TS' 'BH'],Suite,1,8000-11000,12000,[405883909],15,4058,0
Anne Morris,F,641326472,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'SA'],Traditional Residence Hall,1,4000-6000,7000,[],15,4059,0
Michael Garcia,M,346790833,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'MZH'],Suite,1,6000-8000,9000,[],15,4070,0
Candace Blair,F,446726850,Freshman,School of Engineering,0,1,['SA' 'MH' 'BS'],Suite,1,8000-11000,12000,[733160099],15,4072,0
Deanna Russell,F,966729559,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MH'],Apartment,1,8000-11000,12000,[101595244],15,4129,0
Tom Lopez,M,520384326,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'BS' 'MZH'],Apartment,1,8000-11000,12000,[],15,4149,0
James Floyd,M,757152611,Freshman,School of Management and Labor Relations,0,1,['MRS' 'BS' 'MZH'],Apartment,1,4000-6000,7000,[],15,4156,0
Kelly Perez,F,297994472,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['JS' 'NCA' 'MS'],Traditional Residence Hall,1,6000-8000,9000,[447266055],15,4193,0
Jeffrey Sanchez,M,508705937,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['CS' 'MH' 'BS'],Apartment,1,8000-11000,12000,"[940833526, 804235221]",15,4225,0
Dwayne Newman,M,518837187,Freshman,School of Social Work,0,1,['RA' 'CS' 'JS'],Suite,1,6000-8000,9000,"[676908746, 455440007]",15,4268,0
Michael Wilson,M,165495109,Freshman,School of Arts and Sciences,0,1,['BS' 'MS' 'SA'],Traditional Residence Hall,1,8000-11000,12000,[778906789],15,4303,0
Monica Perry,F,139088686,Freshman,School of Arts and Sciences,0,1,['MH' 'RA' 'SA'],Apartment,1,6000-8000,9000,[216480230],15,4444,0
Jonathan Cardenas,M,473198554,Freshman,School of Engineering,0,1,['MZH' 'WS' 'BH'],Traditional Residence Hall,1,8000-11000,12000,"[853584029, 259101525]",15,4465,0
Tonya Terry,F,764690622,Freshman,School of Engineering,0,1,['MZH' 'TS' 'BS'],Apartment,1,6000-8000,9000,[],15,4643,0
Jeffrey Ross,M,569396935,Freshman,School of Arts and Sciences,0,1,['BH' 'SA' 'CS'],Apartment,1,4000-6000,7000,"[307196373, 122370856]",15,4658,0
Jeremy Price,M,834329815,Freshman,Mason Gross School of the Arts,0,1,['BS' 'MH' 'JS'],Suite,1,6000-8000,9000,"[688883822, 299056170]",15,4666,0
Daniel Bailey,M,702983217,Freshman,School of Communication and Information,0,1,['WS' 'BS' 'MZH'],Apartment,1,8000-11000,12000,"[760123085, 885682541]",15,4686,0
Melissa Thomas,F,604645259,Freshman,Mason Gross School of the Arts,0,1,['BS' 'TS' 'MH'],Suite,1,8000-11000,12000,[],15,4818,0
Shawn Montgomery,M,102918088,Freshman,School of Arts and Sciences,0,1,['RA' 'TS' 'NCA'],Suite,1,8000-11000,12000,"[317075122, 381429715]",15,4825,0
Angela Larsen,F,813361056,Freshman,School of Arts and Sciences,0,1,['BS' 'MH' 'JS'],Apartment,1,8000-11000,12000,[],15,4835,0
Steven Melton,M,244735729,Freshman,Mason Gross School of the Arts,0,1,['MS' 'WS' 'NCA'],Apartment,1,6000-8000,9000,[],15,4950,0
Scott Henry,M,644253942,Freshman,School of Management and Labor Relations,0,1,['SA' 'NCA' 'BS'],Traditional Residence Hall,1,8000-11000,12000,"[747479768, 795787204]",15,4952,0
Randy Fisher,M,880189198,Freshman,School of Social Work,0,1,['CS' 'NCA' 'AH'],Apartment,1,8000-11000,12000,[580147547],15,4967,0
Courtney Nash,F,194406244,Freshman,School of Communication and Information,0,1,['RA' 'NCA' 'TS'],Traditional Residence Hall,1,6000-8000,9000,[],15,5015,0
Jimmy Gould,M,923797153,Freshman,Mason Gross School of the Arts,0,1,['BS' 'BH' 'MS'],Suite,1,4000-6000,7000,[378648174],15,5074,0
Lauren Chan,F,455425543,Freshman,School of Arts and Sciences,0,1,['CS' 'BS' 'MH'],Apartment,1,8000-11000,12000,"[568451431, 468867548]",15,5080,0
Miss Amy Sloan DVM,F,277032690,Freshman,School of Environmental and Biological Sciences,0,1,['MRS' 'MS' 'JS'],Suite,1,8000-11000,12000,[],15,5158,0
Louis Davis,M,691500911,Freshman,School of Management and Labor Relations,0,1,['AH' 'NCA' 'RA'],Suite,1,8000-11000,12000,[871234867],15,5159,0
Diamond Hall,F,446730596,Freshman,School of Arts and Sciences,0,1,['MH' 'TS' 'SA'],Apartment,1,8000-11000,12000,"[870186697, 373274278]",15,5169,0
Jane Rich,F,711643721,Freshman,School of Engineering,0,1,['CS' 'SA' 'MRS'],Suite,1,8000-11000,12000,[335152345],15,5221,0
Mary Hayes,F,508260703,Freshman,School of Arts and Sciences,0,1,['NCA' 'SA' 'MZH'],Traditional Residence Hall,1,4000-6000,7000,[986628802],15,5249,0
Shawn Green,M,331441833,Freshman,School of Arts and Sciences,0,1,['RA' 'MS' 'AH'],Apartment,1,6000-8000,9000,[936493386],15,5292,0
Kristina Bell,F,819304905,Freshman,School of Arts and Sciences,0,1,['BS' 'MS' 'MZH'],Suite,1,4000-6000,7000,"[284458084, 182281382]",15,5328,0
Matthew Robertson,M,306739463,Freshman,Mason Gross School of the Arts,0,1,['SA' 'BH' 'BS'],Apartment,1,6000-8000,9000,"[274717833, 834017372]",15,5346,0
Shelly Jenkins,F,833151545,Freshman,School of Communication and Information,0,1,['NCA' 'MZH' 'TS'],Apartment,1,8000-11000,12000,"[869227931, 236427219]",15,5386,0
Michael Rodriguez,M,520135972,Freshman,School of Arts and Sciences,0,1,['BS' 'RA' 'MS'],Suite,1,4000-6000,7000,"[798739702, 912137021]",15,5556,0
Jordan Rose,M,294085246,Freshman,School of Arts and Sciences,0,1,['SA' 'RA' 'JS'],Apartment,1,8000-11000,12000,"[919928304, 866253426]",15,5568,0
Alex Phillips,M,542378868,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'RA'],Apartment,1,8000-11000,12000,"[250145842, 922709577]",15,5578,0
Andrew Coleman,M,211848607,Freshman,School of Arts and Sciences,0,1,['BS' 'NCA' 'TS'],Suite,1,8000-11000,12000,[],15,5618,0
Miss Kelly Anderson,F,772159205,Freshman,School of Management and Labor Relations,0,1,['RA' 'NCA' 'MH'],Suite,1,4000-6000,7000,[387607677],15,5626,0
Karen Castaneda,F,154553788,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['WS' 'MZH' 'BS'],Apartment,1,4000-6000,7000,"[876006525, 236203902]",15,5675,0
Jessica Miller,F,990531147,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['CS' 'NCA' 'BS'],Suite,1,8000-11000,12000,"[742803667, 406462960]",15,5722,0
Erica Miller,F,600891458,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'SA' 'MZH'],Suite,1,8000-11000,12000,[444418662],15,5738,0
Jennifer Jenkins,F,976460909,Freshman,School of Social Work,0,1,['AH' 'SA' 'BS'],Apartment,1,8000-11000,12000,"[376547827, 892592773]",15,5743,0
Lori Simon,F,354458979,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MS'],Suite,1,8000-11000,12000,"[763801719, 923624435]",15,5745,0
Erica Walters,F,579458253,Freshman,School of Arts and Sciences,0,1,['TS' 'MRS' 'RA'],Suite,1,8000-11000,12000,"[557236957, 210531978]",15,5760,0
Julie Lawrence,F,956668962,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'MH' 'RA'],Suite,1,4000-6000,7000,"[906155943, 743988610]",15,5769,0
Anthony Wilson,M,939254413,Freshman,School of Arts and Sciences,0,1,['RA' 'MS' 'JS'],Suite,1,8000-11000,12000,[],15,5815,0
Taylor Nichols,F,237911094,Freshman,School of Arts and Sciences,0,1,['BS' 'WS' 'MRS'],Suite,1,8000-11000,12000,[],15,5838,0
Paul Espinoza,M,670226826,Freshman,School of Management and Labor Relations,0,1,['BS' 'NCA' 'BH'],Suite,1,4000-6000,7000,"[239604896, 239636686]",15,5841,0
Tonya Hale,F,889534148,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'RA' 'WS'],Suite,1,6000-8000,9000,[732279254],15,5857,0
Bridget Jenkins,F,191588556,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['CS' 'SA' 'BS'],Suite,1,6000-8000,9000,"[214797702, 238072123]",15,5881,0
Pamela Thomas,F,582404655,Freshman,Mason Gross School of the Arts,0,1,['JS' 'MRS' 'WS'],Suite,1,8000-11000,12000,"[459419771, 978431579]",15,5916,0
Billy Compton,M,607260391,Freshman,School of Arts and Sciences,0,1,['RA' 'BS' 'NCA'],Suite,1,8000-11000,12000,"[765882584, 604791093]",15,5952,0
Stephanie Hernandez,F,514009554,Freshman,School of Arts and Sciences,0,1,['MZH' 'SA' 'WS'],Suite,1,6000-8000,9000,[],15,5964,0
Dana Sullivan,F,495259583,Freshman,Mason Gross School of the Arts,0,1,['BH' 'BS' 'NCA'],Suite,1,4000-6000,7000,"[109139413, 595706846]",15,6047,0
Paula Wright,F,411956360,Freshman,School of Arts and Sciences,0,1,['SA' 'BH' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,"[764777618, 845957368]",15,6070,0
Jenna Arnold,F,255959178,Freshman,Mason Gross School of the Arts,0,1,['SA' 'BS' 'RA'],Suite,1,6000-8000,9000,"[935764901, 332580116]",15,6071,0
Ronald Sandoval,M,727168930,Freshman,School of Arts and Sciences,0,1,['JS' 'RA' 'NCA'],Apartment,1,4000-6000,7000,"[732279254, 889534148]",15,6109,0
James Owens,M,854496345,Freshman,School of Communication and Information,0,1,['NCA' 'JS' 'BS'],Apartment,1,8000-11000,12000,[],15,6120,0
Jared Ramos,M,823680486,Freshman,School of Communication and Information,0,1,['JS' 'SA' 'MS'],Apartment,1,6000-8000,9000,"[425357048, 946572139]",15,6161,0
Heidi Jordan,F,113879586,Freshman,School of Communication and Information,0,1,['BH' 'MZH' 'TS'],Suite,1,8000-11000,12000,[849551097],15,6237,0
Dalton Campbell,M,593754958,Freshman,School of Arts and Sciences,0,1,['MRS' 'SA' 'WS'],Suite,1,8000-11000,12000,"[897599819, 314028650]",15,6251,0
Edward Frost,M,677091743,Freshman,School of Arts and Sciences,0,1,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,"[684350679, 839717510]",15,6315,0
Breanna Shaw,F,175941021,Freshman,Mason Gross School of the Arts,0,1,['BH' 'SA' 'NCA'],Suite,1,6000-8000,9000,[],15,6369,0
Elizabeth Mejia,F,901779243,Freshman,School of Management and Labor Relations,0,1,['AH' 'RA' 'SA'],Traditional Residence Hall,1,8000-11000,12000,"[317787976, 211401025]",15,6417,0
Christopher Howell,M,521428219,Freshman,Mason Gross School of the Arts,0,1,['NCA' 'BH' 'SA'],Suite,1,6000-8000,9000,[201831709],15,6430,0
James Bullock,M,448828952,Freshman,School of Communication and Information,0,1,['SA' 'NCA' 'TS'],Suite,1,6000-8000,9000,[],15,6448,0
Michael Farley,M,228855972,Freshman,Mason Gross School of the Arts,0,1,['NCA' 'TS' 'CS'],Apartment,1,8000-11000,12000,[],15,6464,0
Jorge Richardson,M,852163813,Freshman,School of Arts and Sciences,0,1,['TS' 'MS' 'RA'],Suite,1,6000-8000,9000,"[745862358, 717741141]",15,6469,0
Erika Brown,F,585480325,Freshman,School of Arts and Sciences,0,1,['CS' 'MH' 'BH'],Traditional Residence Hall,1,4000-6000,7000,"[326752051, 501521481]",15,6504,0
Samantha Carlson,F,945620180,Freshman,Mason Gross School of the Arts,0,1,['CS' 'NCA' 'BS'],Suite,1,8000-11000,12000,[537407684],15,6530,0
Angel Dawson,F,444344033,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MRS' 'SA' 'AH'],Apartment,1,6000-8000,9000,"[365003150, 253154688]",15,6598,0
Anthony Rodriguez,M,270149989,Freshman,School of Communication and Information,0,1,['WS' 'SA' 'RA'],Apartment,1,4000-6000,7000,[916279542],15,6598,0
Sabrina Walton,F,337300073,Freshman,School of Arts and Sciences,0,1,['BH' 'RA' 'BS'],Traditional Residence Hall,1,6000-8000,9000,[882562285],15,6614,0
Felicia Randall,F,443401898,Freshman,School of Arts and Sciences,0,1,['TS' 'MH' 'MZH'],Apartment,1,8000-11000,12000,[610330222],15,6720,0
Daniel Harper,M,956855255,Freshman,School of Environmental and Biological Sciences,0,1,['NCA' 'MZH' 'BS'],Suite,1,4000-6000,7000,"[705853925, 402474464]",15,6769,0
Marcia Molina,F,663482717,Freshman,School of Arts and Sciences,0,1,['NCA' 'MS' 'SA'],Suite,1,6000-8000,9000,"[687367677, 897411267]",15,6994,0
Kyle Johnson,M,116807496,Freshman,School of Engineering,0,1,['BS' 'MH' 'MZH'],Apartment,1,8000-11000,12000,[285376839],15,6995,0
Collin Ramirez,M,455064823,Freshman,School of Management and Labor Relations,0,1,['BS' 'RA' 'NCA'],Suite,1,8000-11000,12000,"[267975291, 810326228]",15,7027,0
Brandon Bryant,M,604415522,Freshman,School of Communication and Information,0,1,['JS' 'MH' 'TS'],Traditional Residence Hall,1,4000-6000,7000,[395960616],15,7045,0
John Doyle,M,440333569,Freshman,School of Arts and Sciences,0,1,['RA' 'NCA' 'MS'],Traditional Residence Hall,1,6000-8000,9000,"[506114859, 734057537]",15,7085,0
Tina Phelps,F,980946914,Freshman,School of Engineering,0,1,['MS' 'BS' 'NCA'],Apartment,1,8000-11000,12000,[438631735],15,7087,0
Margaret Rivera,F,709305722,Freshman,School of Arts and Sciences,0,1,['MS' 'TS' 'BS'],Suite,1,4000-6000,7000,[970808700],15,7106,0
Deborah Scott,F,574923244,Freshman,Mason Gross School of the Arts,0,1,['BS' 'CS' 'RA'],Suite,1,8000-11000,12000,[341093162],15,7112,0
Leslie Wang,F,958222449,Freshman,School of Environmental and Biological Sciences,0,1,['NCA' 'RA' 'TS'],Suite,1,6000-8000,9000,"[512538837, 344699019]",15,7172,0
Daniel Figueroa,M,770847865,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'MS' 'BS'],Traditional Residence Hall,1,4000-6000,7000,"[750575848, 556904074]",15,7181,0
Dr. William Garza,M,617294674,Freshman,School of Arts and Sciences,0,1,['NCA' 'CS' 'RA'],Traditional Residence Hall,1,8000-11000,12000,[240607092],15,7223,0
Peter Rose,M,491181632,Freshman,School of Social Work,0,1,['BS' 'NCA' 'TS'],Apartment,1,6000-8000,9000,"[318673619, 845575051]",15,7224,0
Jose Morris,M,276574327,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['MH' 'RA' 'BS'],Traditional Residence Hall,1,8000-11000,12000,"[509387933, 199519001]",15,7263,0
Erin Thomas,F,956437869,Freshman,School of Arts and Sciences,0,1,['WS' 'BS' 'RA'],Apartment,1,6000-8000,9000,"[978046965, 112256088]",15,7283,0
Sandra Jones,F,156755286,Freshman,School of Social Work,0,1,['BS' 'BH' 'SA'],Suite,1,8000-11000,12000,[450859644],15,7285,0
Christopher Chandler,M,402161043,Freshman,School of Arts and Sciences,0,1,['SA' 'NCA' 'RA'],Apartment,1,8000-11000,12000,[],15,7287,0
John Todd,M,565945658,Freshman,School of Management and Labor Relations,0,1,['MZH' 'JS' 'MS'],Suite,1,8000-11000,12000,"[495620572, 312739250]",15,7289,0
Dorothy Parker,F,626353159,Freshman,School of Social Work,0,1,['NCA' 'WS' 'SA'],Apartment,1,6000-8000,9000,"[880723224, 628868336]",15,7293,0
Anthony Tapia,M,791635032,Freshman,School of Engineering,0,1,['NCA' 'TS' 'BS'],Apartment,1,4000-6000,7000,[],15,7323,0
Anthony Mcgrath,M,428779973,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['JS' 'BS' 'AH'],Suite,1,8000-11000,12000,[],15,7354,0
Deanna Price,F,824540192,Freshman,Mason Gross School of the Arts,0,1,['BS' 'AH' 'CS'],Traditional Residence Hall,1,8000-11000,12000,[663095454],15,7374,0
Anthony Morris,M,919436878,Freshman,School of Arts and Sciences,0,1,['BS' 'TS' 'SA'],Traditional Residence Hall,1,8000-11000,12000,[456036278],15,7390,0
Tina Baker,F,676908746,Freshman,School of Arts and Sciences,0,1,['NCA' 'MH' 'SA'],Suite,1,8000-11000,12000,"[518837187, 455440007]",15,7465,0
Michael Berg,M,228263424,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'MS' 'RA'],Traditional Residence Hall,1,8000-11000,12000,"[990100111, 187850882]",15,7487,0
Sandra Yates,F,677850145,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['RA' 'BS' 'MZH'],Suite,1,8000-11000,12000,[693680302],15,7492,0
Joseph Carter,M,266308233,Freshman,School of Communication and Information,0,1,['SA' 'MS' 'CS'],Apartment,1,4000-6000,7000,[],15,7550,0
Mark Smith,M,881458781,Freshman,School of Environmental and Biological Sciences,0,1,['BS' 'JS' 'TS'],Suite,1,8000-11000,12000,"[244667031, 931090335]",15,7591,0
Kevin Sanchez,M,247923338,Freshman,School of Arts and Sciences,0,1,['MH' 'MZH' 'BS'],Suite,1,4000-6000,7000,[801104474],15,7606,0
Autumn Nguyen,F,283499221,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['SA' 'BS' 'RA'],Suite,1,8000-11000,12000,[],15,7608,0
Bonnie Wall,F,458225096,Freshman,School of Social Work,0,1,['BH' 'BS' 'TS'],Suite,1,8000-11000,12000,[557678398],15,7732,0
Michelle Hunt,F,929236198,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['SA' 'BS' 'NCA'],Traditional Residence Hall,1,8000-11000,12000,[],15,7786,0
Warren Lawson,M,135506646,Freshman,School of Arts and Sciences,0,1,['BH' 'NCA' 'WS'],Suite,1,8000-11000,12000,[],15,7789,0
David Boyd,M,957346112,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'NCA' 'RA'],Suite,1,4000-6000,7000,[652093821],15,7814,0
Michael Stephens,M,970597607,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['BH' 'BS' 'AH'],Traditional Residence Hall,1,8000-11000,12000,"[621844658, 427275280]",15,7905,0
Amber Martinez,F,188932475,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'MH' 'MS'],Traditional Residence Hall,1,6000-8000,9000,[],15,7922,0
Gary Morales,M,557095380,Freshman,School of Arts and Sciences,0,1,['MH' 'AH' 'SA'],Apartment,1,4000-6000,7000,[567506101],15,8001,0
Alec Kelly,M,626473245,Freshman,School of Arts and Sciences,0,1,['SA' 'NCA' 'MZH'],Traditional Residence Hall,1,6000-8000,9000,"[909375509, 616454897]",15,8011,0
Susan Hunter,F,732279254,Freshman,School of Arts and Sciences,0,1,['BS' 'WS' 'NCA'],Suite,1,4000-6000,7000,"[727168930, 889534148]",15,8033,0
Christine Hanson,F,855335584,Freshman,School of Arts and Sciences,0,1,['NCA' 'RA' 'BS'],Suite,1,6000-8000,9000,"[837182896, 793514586]",15,8049,0
Carl Ewing,M,285253544,Freshman,School of Social Work,0,1,['RA' 'SA' 'NCA'],Apartment,1,8000-11000,12000,[840121411],15,8087,0
Amy Padilla,F,829936619,Freshman,School of Arts and Sciences,0,1,['NCA' 'MH' 'AH'],Apartment,1,4000-6000,7000,[],15,8094,0
Jeffrey Clark,M,209184196,Freshman,School of Arts and Sciences,0,1,['MZH' 'BS' 'SA'],Suite,1,4000-6000,7000,"[902923224, 920360732]",15,8132,0
Mark Holden,M,963175454,Freshman,School of Environmental and Biological Sciences,0,1,['RA' 'TS' 'SA'],Apartment,1,4000-6000,7000,[570371066],15,8341,0
Jennifer Riley,F,457657927,Freshman,Mason Gross School of the Arts,0,1,['RA' 'NCA' 'SA'],Traditional Residence Hall,1,4000-6000,7000,[],15,8396,0
Matthew Harris,M,441746927,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'JS' 'RA'],Traditional Residence Hall,1,6000-8000,9000,[],15,8460,0
Ryan Garcia,M,352400681,Freshman,School of Arts and Sciences,0,1,['BS' 'RA' 'SA'],Apartment,1,8000-11000,12000,[],15,8570,0
Cory Hayes,M,925486067,Freshman,School of Arts and Sciences,0,1,['SA' 'NCA' 'MRS'],Suite,1,6000-8000,9000,"[287118708, 671415567]",15,8593,0
Natasha Padilla,F,549175339,Freshman,School of Management and Labor Relations,0,1,['AH' 'MRS' 'BS'],Apartment,1,4000-6000,7000,"[195679272, 365478886]",15,8646,0
Joseph Wilkinson,M,334484499,Freshman,Mason Gross School of the Arts,0,1,['MRS' 'MZH' 'SA'],Apartment,1,8000-11000,12000,"[785418046, 255803359]",15,8652,0
Audrey Valdez,F,330996715,Freshman,School of Social Work,0,1,['BH' 'NCA' 'MZH'],Suite,1,4000-6000,7000,[417218027],15,8701,0
Barbara Noble,F,829724165,Freshman,School of Arts and Sciences,0,1,['SA' 'BS' 'TS'],Apartment,1,6000-8000,9000,[],15,8771,0
Bradley Gordon,M,940299498,Freshman,School of Management and Labor Relations,0,1,['BS' 'JS' 'MZH'],Apartment,1,8000-11000,12000,"[953121919, 636086238]",15,8772,0
