name,sex,RUID,date_of_birth,student_year,student_school,accessibility_need,low_income_status,preferred_hall_ids,preferred_residence_type,is_single_preferred,is_private_bathroom_preferred,laundry_availibility,preferred_price_range,max_price,roommate_preferences,lottery_number
Lawrence Daniels,M,372155189,2002-08-02,Freshman,School of Arts and Sciences,0,1,['MS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000,[566950607],4123
Rebecca Chambers,F,577632295,2004-07-19,Sophomore,Mason Gross School of the Arts,0,0,['WS' 'AH' 'SA'],Suite,1,1,1,4000-6000,7000,"[252783455, 877126103]",4125
Lynn Jackson,F,346582004,2000-06-19,Senior,School of Arts and Sciences,0,1,['AH' 'SA' 'MZH'],Apartment,1,1,0,4000-6000,7000,[],4134
Amy Johnson,F,409636711,2001-04-06,Junior,School of Social Work,0,1,['MRS' 'MH' 'NCA'],Suite,1,0,1,8000-11000,12000,[],4139
Brian Irwin,M,613520750,2004-07-31,Junior,School of Communication and Information,0,1,['NCA' 'RA' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[199868887, 533954525]",4147
Steven Lowery,M,730508560,2003-08-04,Sophomore,School of Arts and Sciences,0,1,['MH' 'AH' 'SA'],Suite,1,1,1,8000-11000,12000,[203572534],4153
Samuel Lewis,M,289793143,2004-04-09,Sophomore,School of Communication and Information,0,1,['RA' 'JS' 'NCA'],Apartment,1,1,1,8000-11000,12000,"[637511302, 807478429]",4162
Lisa Roth,F,182602795,2003-04-07,Junior,School of Arts and Sciences,0,0,['BH' 'SA' 'AH'],Apartment,1,1,1,8000-11000,12000,[],4186
Andrew Mullins,M,533758434,2003-08-31,Senior,Rutgers Business School–Newark and New Brunswick,0,0,['MRS' 'NCA' 'AH'],Apartment,1,1,1,4000-6000,7000,[718800445],4188
Jessica Warren,F,115863810,2005-09-04,Junior,School of Communication and Information,0,1,['SA' 'NCA' 'MH'],Suite,1,1,1,4000-6000,7000,"[172799953, 445699893]",4192
Joseph Anderson,M,718327577,2002-02-15,Sophomore,School of Environmental and Biological Sciences,0,1,['CS' 'MRS' 'BS'],Apartment,1,0,1,8000-11000,12000,[197934268],4204
Wesley Barber,M,516115700,2001-10-29,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[644405134],4211
Stephanie Jones,F,794916999,2000-03-31,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'RA' 'BH'],Suite,1,1,1,4000-6000,7000,"[970611685, 416694276]",4211
Raymond May,M,290893513,2003-02-03,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['MZH' 'BS' 'SA'],Suite,1,1,1,4000-6000,7000,[836579667],4212
Tiffany Davila,F,629480155,2000-10-15,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'BS' 'NCA'],Apartment,1,1,0,8000-11000,12000,[],4213
Jonathan Smith,M,723448707,2003-02-03,Freshman,School of Management and Labor Relations,0,1,['JS' 'RA' 'AH'],Suite,1,1,1,8000-11000,12000,"[157789833, 658484539]",4222
Christopher Gray,M,723108234,2005-02-16,Freshman,Mason Gross School of the Arts,1,1,['JS' 'SA' 'RA'],Suite,1,1,0,8000-11000,12000,[530355757],4225
Karen Becker,F,377143169,2001-07-17,Freshman,School of Management and Labor Relations,0,0,['MS' 'AH' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[383167218, 782031001]",4227
Richard Cruz,M,627983464,2003-02-26,Sophomore,School of Communication and Information,0,1,['SA' 'AH' 'MRS'],Suite,1,0,1,6000-8000,9000,[833754160],4228
Gary Walters,M,604310138,2003-02-05,Freshman,School of Arts and Sciences,0,1,['TS' 'SA' 'RA'],Apartment,1,1,1,4000-6000,7000,"[601736199, 772646740]",4240
James Lee,M,161686511,2003-10-30,Junior,School of Arts and Sciences,0,0,['RA' 'NCA' 'BS'],Apartment,1,1,1,4000-6000,7000,"[683935822, 833567193]",4240
Shannon Burns PhD,F,380643691,2004-03-06,Senior,School of Arts and Sciences,0,0,['CS' 'BH' 'MS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[905391352],4242
Daniel Figueroa,M,770847865,2000-07-31,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['NCA' 'MS' 'BS'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[750575848, 556904074]",4246
Katie Marks,F,713303411,2004-02-06,Freshman,School of Engineering,1,0,['WS' 'JS' 'TS'],Apartment,1,1,1,8000-11000,12000,[],4246
Shawn Peterson,M,882536157,2000-04-25,Freshman,School of Arts and Sciences,0,0,['BS' 'TS' 'WS'],Apartment,1,1,1,4000-6000,7000,"[503769348, 264413757]",4249
Rachel White,F,526183037,2004-01-13,Sophomore,School of Engineering,0,1,['SA' 'NCA' 'RA'],Apartment,1,1,1,8000-11000,12000,[],4256
William Shaw,M,869208972,2003-12-17,Senior,Mason Gross School of the Arts,0,1,['BS' 'TS' 'SA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],4266
Thomas Mcdonald,M,876837595,2005-01-29,Junior,School of Social Work,0,0,['MZH' 'RA' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[585438626, 110941140]",4268
Vanessa Ruiz,F,996988163,2001-04-17,Senior,School of Arts and Sciences,0,0,['MS' 'BS' 'RA'],Suite,1,1,1,8000-11000,12000,[275252001],4273
Thomas Murray,M,417761835,2000-10-14,Freshman,School of Arts and Sciences,0,0,['BS' 'JS' 'WS'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[389454575, 149113572]",4280
Jessica Vega,F,498895738,2000-08-24,Freshman,School of Social Work,0,1,['RA' 'NCA' 'BS'],Apartment,1,1,1,6000-8000,9000,[],4284
Andre Ferrell,M,613591153,2000-07-11,Sophomore,Mason Gross School of the Arts,0,0,['JS' 'BS' 'SA'],Suite,1,1,1,4000-6000,7000,[415540944],4301
Rebecca Parker,F,362973518,2005-06-26,Sophomore,School of Arts and Sciences,0,0,['RA' 'BS' 'CS'],Suite,1,1,1,6000-8000,9000,[],4301
Rachel Johnson,F,119907750,2000-03-29,Freshman,School of Arts and Sciences,0,0,['TS' 'BS' 'SA'],Suite,1,0,1,4000-6000,7000,"[619619714, 633205221]",4315
Carrie Adams,F,144733969,2000-04-15,Sophomore,School of Arts and Sciences,0,0,['NCA' 'SA' 'RA'],Traditional Residence Hall,1,0,1,6000-8000,9000,"[207429231, 225025373]",4316
Amy Patterson,F,737235139,2000-05-24,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['BS' 'MH' 'CS'],Apartment,1,1,1,8000-11000,12000,[412120180],4317
Angela Mora,F,641610004,2003-05-26,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['MS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[745451264, 232358635]",4329
Gregory Strickland,M,284672948,2003-11-05,Senior,School of Communication and Information,0,0,['NCA' 'AH' 'MS'],Apartment,1,0,1,8000-11000,12000,"[884050320, 572888551]",4331
Nina Ryan,F,437037172,2000-11-24,Senior,School of Arts and Sciences,0,0,['NCA' 'RA' 'BS'],Apartment,1,1,1,8000-11000,12000,"[449558716, 524820720]",4334
Thomas Edwards,M,979417663,2002-10-15,Sophomore,School of Arts and Sciences,0,1,['NCA' 'AH' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,[914367253],4335
Christina Berry,F,736365825,1996-09-26,Masters,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[474352959, 873048542]",4340
Howard Mccarthy,M,748017094,2005-07-27,Sophomore,School of Engineering,0,1,['MS' 'MRS' 'RA'],Apartment,1,1,1,4000-6000,7000,"[813687794, 536617216]",4348
Chris Smith,M,214978631,2002-09-30,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['JS' 'BS' 'MRS'],Suite,1,1,1,8000-11000,12000,[962353610],4352
Dr. Jim Mckinney,M,785017990,1998-11-08,Postdoctoral studies,Graduate School of Education,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[],4353
Anthony Rodriguez,M,270149989,2001-04-09,Freshman,School of Communication and Information,0,1,['WS' 'SA' 'RA'],Apartment,1,1,0,4000-6000,7000,[916279542],4358
Andrew Gregory,M,349027753,2000-09-03,Senior,School of Communication and Information,0,0,['SA' 'AH' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[705859578, 828364590]",4360
Mrs. Sheri Hall,F,658566707,2003-10-28,Freshman,Mason Gross School of the Arts,0,0,['TS' 'BS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[807986724, 245003256]",4363
Thomas Jackson,M,894081922,2005-08-14,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['RA' 'MRS' 'SA'],Apartment,1,1,1,6000-8000,9000,[],4364
Amber Howard,F,504854431,1999-10-03,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,1,['MRS' 'NCA' 'MH'],Suite,1,1,1,4000-6000,7000,"[867460117, 135491386]",4365
Ashley Parker,F,713776321,2004-12-20,Junior,School of Arts and Sciences,0,0,['MH' 'AH' 'CS'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[806189486, 595361233]",4365
Luis Williams,M,191058364,2001-08-01,Junior,School of Environmental and Biological Sciences,0,0,['MH' 'TS' 'MRS'],Traditional Residence Hall,1,0,1,8000-11000,12000,"[854589074, 390615135]",4371
Justin Torres,M,716421014,2000-11-08,Senior,School of Management and Labor Relations,0,0,['MRS' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000,"[527082838, 568713484]",4372
Gerald Barajas,M,501849067,1996-07-16,Doctorate,School of Graduate Studies,0,1,['JA' 'BA'],Apartment,1,0,1,9000-10500,11500,"[545573788, 870053430]",4380
Kimberly Moody,F,553903484,2001-01-06,Sophomore,School of Arts and Sciences,0,0,['BS' 'SA' 'MS'],Apartment,1,1,1,8000-11000,12000,[915059482],4381
David Gibson,M,619769760,2002-03-19,Freshman,School of Arts and Sciences,1,1,['SA' 'NCA' 'CS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[711429324, 310585976]",4386
Bianca Harrell,F,400880058,2005-03-12,Freshman,School of Communication and Information,1,1,['SA' 'NCA' 'MH'],Suite,1,1,1,8000-11000,12000,[353703005],4388
Roger Long,M,382179115,2005-06-29,Freshman,School of Engineering,0,1,['MRS' 'RA' 'NCA'],Suite,1,1,1,6000-8000,9000,[],4389
Sarah Lester,F,727200162,2001-02-11,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['RA' 'MRS' 'BS'],Suite,1,1,0,8000-11000,12000,[792426691],4390
Brenda Waters,F,133335852,2002-07-15,Senior,School of Communication and Information,0,0,['RA' 'MH' 'BS'],Apartment,1,0,1,6000-8000,9000,[],4392
Karen Thomas,F,663733156,2000-11-13,Senior,School of Communication and Information,0,0,['SA' 'MH' 'JS'],Suite,1,1,1,8000-11000,12000,"[779941164, 409552265]",4397
Mr. Mark Carroll,M,685408734,2002-01-11,Freshman,School of Communication and Information,0,0,['SA' 'MZH' 'MRS'],Suite,1,1,1,6000-8000,9000,"[222703106, 356448703]",4398
Devon Griffin,M,408601102,1999-10-24,Junior,School of Arts and Sciences,0,0,['NCA' 'MS' 'CS'],Suite,1,1,1,6000-8000,9000,"[760528116, 473872624]",4402
Lydia Anderson,F,712059240,2003-10-02,Sophomore,Mason Gross School of the Arts,0,0,['MZH' 'BH' 'RA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[],4403
Savannah Rodriguez,F,563930408,2001-06-28,Junior,School of Arts and Sciences,0,0,['RA' 'BH' 'SA'],Suite,1,1,1,4000-6000,7000,"[856877521, 236643966]",4406
Dana Sims,F,381920393,2001-07-02,Freshman,School of Arts and Sciences,0,1,['SA' 'NCA' 'JS'],Suite,1,1,1,8000-11000,12000,"[544942388, 811562106]",4406
Mrs. Jamie Wilson MD,F,930486862,2004-01-22,Senior,School of Engineering,0,0,['WS' 'JS' 'MH'],Apartment,1,1,1,8000-11000,12000,"[197279174, 740899683]",4416
Susan Smith,F,629099054,2003-03-12,Junior,School of Arts and Sciences,0,1,['BH' 'SA' 'BS'],Suite,1,1,1,8000-11000,12000,[764946528],4418
Nicholas Benitez,M,589879196,2000-01-18,Junior,School of Communication and Information,0,0,['MH' 'SA' 'JS'],Suite,1,1,1,8000-11000,12000,"[460347166, 988257395]",4420
Ms. Brandi Carr PhD,F,765718306,2004-11-24,Sophomore,School of Engineering,0,0,['RA' 'NCA' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000,"[132257721, 199127500]",4422
Dr. Gerald Lopez,M,112967521,2001-04-15,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'MH' 'MZH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[],4426
Lori Simon,F,354458979,2003-03-23,Freshman,School of Arts and Sciences,0,1,['BS' 'SA' 'MS'],Suite,1,1,1,8000-11000,12000,"[763801719, 923624435]",4427
Anna Johnson,F,830493275,1999-04-16,Masters,Graduate School of Education,0,0,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,"[979254121, 244532589]",4431
Miguel Mcgrath,M,323615615,2003-10-11,Freshman,School of Engineering,0,0,['BS' 'MS' 'RA'],Apartment,1,1,1,8000-11000,12000,[],4431
Logan Wyatt,M,883192000,2005-04-05,Senior,School of Arts and Sciences,0,0,['MS' 'TS' 'MH'],Traditional Residence Hall,1,1,1,8000-11000,12000,[385152361],4432
Mark Macdonald,M,891641917,1996-08-24,Doctorate,Graduate School of Education,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[],4433
Andrew Preston,M,994175342,2004-11-21,Junior,School of Management and Labor Relations,0,1,['SA' 'NCA' 'MH'],Suite,1,0,1,8000-11000,12000,"[909939391, 954927368]",4446
Lindsay Key,F,405157183,2005-08-13,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'RA'],Suite,1,1,1,8000-11000,12000,"[532086158, 626025049]",4447
Jessica Pittman,F,550241506,1998-11-05,Doctorate,Graduate School of Applied and Professional Psychology,0,0,['JA' 'BA'],Apartment,1,1,1,10500-12000,13000,[395225718],4449
Mr. Brian Graham,M,439650700,2000-07-23,Sophomore,School of Management and Labor Relations,0,0,['RA' 'SA' 'BS'],Apartment,1,1,0,8000-11000,12000,"[567506101, 557095380]",4454
Jennifer Hamilton,F,944379524,2005-04-02,Freshman,Rutgers Business School–Newark and New Brunswick,1,0,['RA' 'WS' 'SA'],Apartment,1,1,1,4000-6000,7000,"[683732129, 425603845]",4455
Stacy Montgomery,F,778689026,2004-08-27,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['AH' 'NCA' 'MRS'],Suite,1,1,1,8000-11000,12000,"[489246663, 544947446]",4466
Brian Ramsey,M,333543967,2005-09-08,Sophomore,School of Engineering,0,0,['BS' 'MS' 'NCA'],Traditional Residence Hall,1,1,1,4000-6000,7000,"[985279850, 311767020]",4470
Karen Grant,F,110092541,1994-04-07,Doctorate,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[],4471
Stacy Bates,F,163522694,2004-11-02,Freshman,School of Arts and Sciences,0,1,['MH' 'RA' 'NCA'],Suite,1,1,1,6000-8000,9000,"[469180110, 210745777]",4474
Jerry Wade,M,213520657,2003-02-08,Freshman,School of Arts and Sciences,0,0,['MH' 'JS' 'BS'],Apartment,1,1,1,8000-11000,12000,[852691948],4476
Sandra Yates,F,677850145,2005-06-23,Freshman,Rutgers Business School–Newark and New Brunswick,0,1,['RA' 'BS' 'MZH'],Suite,1,1,1,8000-11000,12000,[693680302],4477
Kaylee Castro,F,997750799,2004-10-10,Freshman,School of Arts and Sciences,0,1,['MH' 'JS' 'MZH'],Apartment,1,1,1,4000-6000,7000,[],4484
Mark Gibbs,M,856829307,2005-01-11,Freshman,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Traditional Residence Hall,1,1,1,4000-6000,7000,[],4490
Gabriel Moore,M,403999270,2005-03-21,Freshman,School of Engineering,0,0,['MS' 'AH' 'RA'],Apartment,1,1,1,4000-6000,7000,[],4500
Charles Ayers,M,440361949,2004-06-27,Sophomore,School of Engineering,0,0,['NCA' 'MS' 'BS'],Suite,1,1,1,8000-11000,12000,[987744270],4503
Hannah Campbell,F,331301083,2001-09-22,Junior,Rutgers Business School–Newark and New Brunswick,0,1,['MH' 'RA' 'MZH'],Apartment,1,1,1,8000-11000,12000,[],4504
George Martinez,M,658484539,2003-02-05,Sophomore,Mason Gross School of the Arts,0,0,['RA' 'SA' 'TS'],Apartment,1,1,1,8000-11000,12000,[157789833],4508
William Willis,M,248767888,1999-12-23,Doctorate,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,"[846985527, 323669162]",4508
Mark Williams,M,887022108,2003-09-28,Freshman,School of Engineering,0,0,['BH' 'BS' 'NCA'],Suite,1,1,1,6000-8000,9000,[487221189],4513
Lauren Roth DDS,F,853571006,2000-12-25,Freshman,School of Communication and Information,0,0,['MZH' 'BH' 'JS'],Apartment,1,1,1,8000-11000,12000,"[344608880, 758147707]",4514
Faith Wilson,F,138747690,2001-01-26,Freshman,School of Arts and Sciences,0,0,['MRS' 'RA' 'SA'],Apartment,1,1,1,8000-11000,12000,"[844401510, 443172403]",4515
Leah Jenkins,F,132459583,2000-06-09,Freshman,School of Communication and Information,0,0,['BS' 'SA' 'MRS'],Apartment,1,1,1,8000-11000,12000,[],4516
Marilyn Smith,F,141565380,2001-04-16,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'BH' 'NCA'],Suite,1,1,1,4000-6000,7000,"[384980223, 947577575]",4517
Danielle Thomas,F,578644942,1999-10-04,Sophomore,Rutgers Business School–Newark and New Brunswick,0,0,['WS' 'CS' 'MZH'],Apartment,1,1,1,8000-11000,12000,[],4519
Timothy Meyer,M,741831288,2002-02-15,Sophomore,School of Arts and Sciences,0,0,['NCA' 'MRS' 'BS'],Apartment,1,1,1,8000-11000,12000,[909473323],4522
Gary Morales,M,557095380,2000-11-08,Freshman,School of Arts and Sciences,0,1,['MH' 'AH' 'SA'],Apartment,1,0,0,4000-6000,7000,[567506101],4524
Ryan Christensen,M,310857175,1996-09-16,Masters,Graduate School of Education,0,0,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,[908561697],4527
Susan Stuart,F,506876627,2004-03-26,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'BH' 'RA'],Suite,1,1,1,8000-11000,12000,[],4529
Shawn Nolan,M,900043843,2001-06-25,Sophomore,School of Arts and Sciences,0,0,['BS' 'BH' 'RA'],Suite,1,1,1,6000-8000,9000,"[814627562, 429479785]",4533
Kathleen Rodriguez,F,551211163,2000-05-15,Junior,School of Arts and Sciences,0,1,['SA' 'MS' 'WS'],Apartment,1,1,1,8000-11000,12000,"[275860358, 863368669]",4544
Yolanda Jacobs,F,347033794,1997-10-04,Postdoctoral studies,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,[],4560
Clayton Cook,M,247796981,1999-12-26,Senior,School of Communication and Information,0,0,['BH' 'MZH' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[114084312, 724532855]",4565
John Bryant,M,824202999,1995-11-18,Masters,School of Graduate Studies,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,[106103230],4565
Karen Bryant,F,392274484,2000-09-03,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['BS' 'SA' 'MZH'],Suite,1,1,1,8000-11000,12000,"[456856068, 346981704]",4569
Timothy Waters,M,549862078,2004-04-08,Junior,Edward J. Bloustein School of Planning and Public Policy,0,1,['BS' 'MS' 'JS'],Apartment,1,1,1,4000-6000,7000,[],4570
Collin Ramirez,M,455064823,1999-10-01,Freshman,School of Management and Labor Relations,0,1,['BS' 'RA' 'NCA'],Suite,1,1,1,8000-11000,12000,"[267975291, 810326228]",4573
Steven Sawyer,M,326126059,2000-07-06,Freshman,School of Engineering,0,0,['BS' 'TS' 'NCA'],Suite,1,1,1,8000-11000,12000,"[427153202, 835984229]",4574
Angela Jackson,F,571069703,2002-11-16,Freshman,Mason Gross School of the Arts,0,0,['BS' 'AH' 'RA'],Suite,1,1,1,8000-11000,12000,[],4574
Steven Mckee,M,148275609,2003-12-23,Sophomore,Edward J. Bloustein School of Planning and Public Policy,0,0,['MH' 'JS' 'BS'],Apartment,1,1,1,6000-8000,9000,"[137826482, 266938434]",4580
William Castro,M,108787823,2002-07-18,Freshman,School of Arts and Sciences,0,1,['SA' 'MS' 'NCA'],Apartment,1,1,1,8000-11000,12000,"[867337151, 904824188]",4580
Kelsey Wright,F,907515613,1995-04-04,Doctorate,School of Graduate Studies,0,1,['JA' 'BA'],Apartment,1,1,1,9000-10500,11500,[],4585
Jennifer Ashley,F,284458084,2004-04-30,Freshman,Rutgers Business School–Newark and New Brunswick,0,0,['NCA' 'BS' 'RA'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[819304905, 182281382]",4588
Nicole Hill,F,631104390,1995-09-08,Masters,School of Graduate Studies,0,0,['JA' 'BA'],Apartment,1,0,1,10500-12000,13000,[417440306],4589
Austin Anthony MD,M,500873316,2004-07-07,Sophomore,Mason Gross School of the Arts,0,0,['BH' 'BS' 'RA'],Apartment,1,1,1,6000-8000,9000,[597778549],4594
Miguel James,M,193428414,1999-11-05,Freshman,School of Arts and Sciences,0,0,['TS' 'MZH' 'NCA'],Traditional Residence Hall,1,1,1,8000-11000,12000,[672481774],4595
John Rodriguez,M,699243638,2002-01-18,Junior,School of Management and Labor Relations,0,0,['CS' 'AH' 'NCA'],Apartment,1,0,1,6000-8000,9000,[],4595
Leslie Jackson,F,294015663,2000-12-19,Junior,Edward J. Bloustein School of Planning and Public Policy,0,0,['SA' 'BS' 'MH'],Suite,1,1,1,8000-11000,12000,[],4595
Anna Small,F,162846358,2004-10-22,Junior,School of Engineering,0,0,['BS' 'MH' 'SA'],Traditional Residence Hall,1,1,0,8000-11000,12000,"[811312761, 901253028]",4599
Lawrence Baker,M,271225911,2003-10-17,Freshman,Edward J. Bloustein School of Planning and Public Policy,0,0,['NCA' 'BH' 'MRS'],Suite,1,1,1,4000-6000,7000,"[916860539, 927771628]",4602
William Brennan,M,907422969,1995-12-28,Masters,Graduate School of Education,0,1,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,[],4607
Lindsay Jones,F,247599955,2001-05-29,Sophomore,School of Engineering,0,0,['RA' 'BS' 'MZH'],Apartment,1,1,1,8000-11000,12000,"[377921735, 339092033]",4609
Adam Taylor,M,698782528,1995-01-06,Postdoctoral studies,Graduate School of Applied and Professional Psychology,0,1,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[735223808, 724677776]",4610
Jason Allen,M,141022812,2005-04-08,Sophomore,School of Communication and Information,0,1,['MS' 'SA' 'BS'],Apartment,1,1,1,8000-11000,12000,[],4621
Emily Erickson DDS,F,683732129,2000-05-21,Freshman,School of Arts and Sciences,0,1,['BS' 'TS' 'AH'],Suite,1,1,1,6000-8000,9000,"[944379524, 425603845]",4630
Taylor Davis,F,705859578,2004-03-18,Freshman,Mason Gross School of the Arts,0,1,['BS' 'RA' 'MS'],Traditional Residence Hall,1,1,0,4000-6000,7000,"[349027753, 828364590]",4632
Carolyn Andrews,F,329947476,2001-11-25,Freshman,School of Social Work,0,0,['RA' 'NCA' 'SA'],Suite,1,1,1,8000-11000,12000,"[233212675, 778542615]",4633
Kelsey Reed,F,640108048,1999-11-17,Freshman,School of Arts and Sciences,0,0,['MRS' 'NCA' 'BS'],Traditional Residence Hall,1,0,1,4000-6000,7000,[],4641
Mary Ellis,F,197987547,2001-01-27,Sophomore,School of Environmental and Biological Sciences,0,0,['TS' 'BS' 'SA'],Apartment,1,1,1,6000-8000,9000,"[605445536, 823918107]",4644
Joseph Anderson,M,447266055,2004-11-14,Freshman,School of Communication and Information,0,0,['SA' 'NCA' 'TS'],Suite,1,1,1,8000-11000,12000,"[397343229, 297994472]",4646
Andrew Watts,M,203608908,2004-07-12,Freshman,School of Arts and Sciences,0,1,['BS' 'MH' 'RA'],Apartment,1,1,1,8000-11000,12000,[],4647
Dennis Ramsey,M,858541458,2002-04-20,Freshman,School of Social Work,0,0,['MS' 'BS' 'MH'],Suite,1,1,1,4000-6000,7000,[885513847],4651
Sheri Duke,F,953827394,2001-08-25,Sophomore,School of Arts and Sciences,0,0,['AH' 'RA' 'CS'],Suite,1,1,1,8000-11000,12000,[216581095],4660
Kerry Henderson,M,672337006,2004-12-13,Freshman,Mason Gross School of the Arts,0,1,['RA' 'SA' 'WS'],Apartment,1,1,1,6000-8000,9000,"[843067157, 125718695]",4667
Christopher Wallace,M,503884300,2001-06-28,Sophomore,Mason Gross School of the Arts,0,0,['NCA' 'RA' 'BS'],Traditional Residence Hall,1,1,1,8000-11000,12000,"[785097514, 685081781]",4669
Erica Hawkins,F,966824404,2000-07-03,Sophomore,School of Engineering,1,0,['MS' 'RA' 'BS'],Apartment,1,1,1,4000-6000,7000,"[894235792, 828841476]",4670
Victoria Brown,F,720780418,2000-10-06,Junior,Mason Gross School of the Arts,0,0,['BS' 'SA' 'MS'],Traditional Residence Hall,1,1,1,6000-8000,9000,"[839989136, 630564747]",4673
Charlene Parker,F,840295418,2005-08-05,Sophomore,School of Arts and Sciences,0,1,['BH' 'SA' 'RA'],Apartment,1,1,1,8000-11000,12000,"[855144565, 345182704]",4678
Jacob Chandler,M,912960677,1995-08-16,Masters,School of Graduate Studies,0,1,['BA' 'JA'],Apartment,1,1,1,10500-12000,13000,"[380403726, 469354057]",4679
Amanda Mullins,F,138433981,1999-10-17,Senior,School of Environmental and Biological Sciences,0,1,['JS' 'NCA' 'WS'],Suite,1,1,1,8000-11000,12000,"[393476557, 992164837]",4682
Vanessa Jimenez,F,453406463,2000-08-19,Freshman,School of Social Work,0,0,['TS' 'WS' 'MH'],Suite,1,0,1,4000-6000,7000,[],4682
Timothy Cantu,M,962475014,2004-01-31,Sophomore,School of Arts and Sciences,0,0,['NCA' 'BS' 'AH'],Suite,1,1,1,4000-6000,7000,"[239466557, 849566613]",4682
Jeffrey Willis,M,614045889,2002-05-30,Sophomore,Rutgers Business School–Newark and New Brunswick,0,1,['RA' 'MZH' 'JS'],Traditional Residence Hall,1,1,1,6000-8000,9000,[],4695
Edward Wilkins,M,768832451,2004-03-27,Freshman,School of Arts and Sciences,0,1,['TS' 'RA' 'AH'],Apartment,1,1,1,4000-6000,7000,"[650514877, 548851176]",4700
Jennifer Jones,F,518564658,2003-11-27,Sophomore,School of Arts and Sciences,0,0,['SA' 'RA' 'BS'],Suite,1,1,1,6000-8000,9000,[],4701
Melissa Reed,F,999583915,2000-12-25,Sophomore,Mason Gross School of the Arts,0,0,['BS' 'MS' 'SA'],Suite,1,1,1,6000-8000,9000,[],4708
Anthony Reed,M,834842563,2004-10-04,Senior,School of Social Work,0,0,['AH' 'TS' 'SA'],Suite,1,1,1,8000-11000,12000,[],4708
Jane Williams,F,330057948,2004-06-02,Junior,School of Arts and Sciences,0,0,['BS' 'NCA' 'SA'],Apartment,1,1,1,8000-11000,12000,[],4709
Kelly Vazquez,M,461625325,2000-03-21,Freshman,School of Social Work,0,0,['AH' 'MS' 'MZH'],Suite,1,1,1,8000-11000,12000,"[117141437, 985897233]",4717
Zachary Wallace,M,862540193,2000-11-13,Junior,Rutgers Business School–Newark and New Brunswick,0,0,['SA' 'NCA' 'BS'],Suite,1,1,1,8000-11000,12000,"[455428309, 654993279]",4717
Dr. Ronald Morrison,M,631904835,2000-08-20,Masters,Graduate School of Education,0,0,['BA' 'JA'],Apartment,1,1,1,9000-10500,11500,"[719296543, 497803669]",4721
